CDID,title,type,area,measure,direction,subject,country_name
ABMI,GDP,Total,United Kingdom,CVM,GDP,GDP,United Kingdom
BOKG,Trade in Goods (T): WW: Exports: BOP: CP: SA,Goods,WW,CP,EX,Exports of goods,United Kingdom
BOKH,Trade in Goods (T): WW: Imports: BOP: CP: SA,Goods,WW,CP,IM,Imports of goods,United Kingdom
BQKO,Trade in Goods (T): WW: Imports: BOP: CVM: SA,Goods,WW,CVM,IM,Imports of goods,United Kingdom
BQKQ,Trade in Goods (T): WW: Exports: BOP: CVM: SA,Goods,WW,CVM,EX,Exports of goods,United Kingdom
FSIG,Total Trade less precious metals (inc non monetary gold): WW (TTlessPM): Imports: BOP: CP: SA,Total,WW,CP,IM,Imports of goods and services,United Kingdom (less PM)
FSIH,Trade in Goods less precious metals (inc non monetary gold) (TlessPM): WW: Imports: BOP: CP: SA,Goods,WW,CP,IM,Imports of goods,United Kingdom (less PM)
FSIJ,Total Trade less precious metals (inc non monetary gold): WW (TTlessPM): Exports: BOP: CP: SA,Total,WW,CP,EX,Exports of goods and services,United Kingdom (less PM)
FSIK,Trade in Goods less precious metals (inc non monetary gold) (TlessPM): WW: Exports: BOP: CP: SA,Goods,WW,CP,EX,Exports of goods,United Kingdom (less PM)
FSL4,Total EU less precious metals (inc non monetary gold): EU (EUlessPM): Exports: BOP: CP: SA,Goods,EU,CP,EX,Exports of goods,United Kingdom (less PM)
FSL5,Total EU less precious metals (inc non monetary gold): EU (EUlessPM): Imports: BOP: CP: SA,Goods,EU,CP,IM,Imports of goods,United Kingdom (less PM)
FSL7,Total Non-EU less precious metals (inc non monetary gold): Non-EU (NonEUlessPM): Exports: BOP: CP: SA,Goods,Non-EU,CP,EX,Exports of goods,United Kingdom (less PM)
FSL8,Total Non-EU less precious metals (inc non monetary gold): Non-EU (NonEUlessPM): Imports: BOP: CP: SA,Goods,Non-EU,CP,IM,Imports of goods,United Kingdom (less PM)
IKBB,Trade in Services (TS): WW: Exports: BOP: CP: SA,Services,WW,CP,EX,Exports of services,United Kingdom
IKBC,Trade in Services (TS): WW: Imports: BOP: CP: SA,Services,WW,CP,IM,Imports of services,United Kingdom
IKBE,Trade in Services (TS): WW: Exports: BOP: CVM: SA,Services,WW,CVM,EX,Exports of services,United Kingdom
IKBF,Trade in Services (TS): WW: Imports: BOP: CVM: SA,Services,WW,CVM,IM,Imports of services,United Kingdom
IKBH,Total Trade (TT): WW: Exports: BOP: CP: SA,Total,WW,CP,EX,Exports of goods and services,United Kingdom
IKBI,Total Trade (TT): WW: Imports: BOP: CP: SA,Total,WW,CP,IM,Imports of goods and services,United Kingdom
