country_name,subject,measure,period_id,year,area,value,value_indexed
United Kingdom (less PM),Exports of goods,CP,2018-Q1,2018,EU (less PM),42537,97.41613754644712
United Kingdom (less PM),Exports of goods,CP,2018-Q2,2018,EU (less PM),43994,100.75288702114382
United Kingdom (less PM),Exports of goods,CP,2018-Q3,2018,EU (less PM),44739,102.45904924396403
United Kingdom (less PM),Exports of goods,CP,2018-Q4,2018,EU (less PM),43391,99.37192618844504
United Kingdom (less PM),Exports of goods,CP,2019-Q1,2019,EU (less PM),46025,105.40418296013421
United Kingdom (less PM),Exports of goods,CP,2019-Q2,2019,EU (less PM),41125,94.18244485031003
United Kingdom (less PM),Exports of goods,CP,2019-Q3,2019,EU (less PM),43256,99.06275585276622
United Kingdom (less PM),Exports of goods,CP,2019-Q4,2019,EU (less PM),41148,94.23511831490717
United Kingdom (less PM),Exports of goods,CP,2020-Q1,2020,EU (less PM),38693,88.61279850682179
United Kingdom (less PM),Exports of goods,CP,2020-Q2,2020,EU (less PM),30452,69.73966712660526
United Kingdom (less PM),Exports of goods,CP,2020-Q3,2020,EU (less PM),36326,83.1920119545863
United Kingdom (less PM),Exports of goods,CP,2020-Q4,2020,EU (less PM),41198,94.34962584664007
United Kingdom (less PM),Exports of goods,CP,2021-Q1,2021,EU (less PM),32962,75.48794521959682
United Kingdom (less PM),Exports of goods,CP,2021-Q2,2021,EU (less PM),39970,91.53732086728004
United Kingdom (less PM),Exports of goods,CP,2021-Q3,2021,EU (less PM),39321,90.05101310538701
United Kingdom (less PM),Exports of goods,CP,2021-Q4,2021,EU (less PM),45325,103.8010775158736
United Kingdom (less PM),Exports of goods,CP,2022-Q1,2022,EU (less PM),46602,106.72559987633186
United Kingdom (less PM),Exports of goods,CP,2022-Q2,2022,EU (less PM),52238,119.63288885326433
United Kingdom (less PM),Exports of goods,CP,2022-Q3,2022,EU (less PM),55066,126.10943484807713
United Kingdom (less PM),Exports of goods,CP,2022-Q4,2022,EU (less PM),52278,119.72449487865065
