country_name,subject,measure,period_id,year,area,value,value_indexed
United Kingdom,Exports of goods,CP,2018-Q1,2018,WW,85741,96.88139117072123
United Kingdom,Exports of goods,CP,2018-Q2,2018,WW,88848,100.39208596513033
United Kingdom,Exports of goods,CP,2018-Q3,2018,WW,91196,103.04516333148779
United Kingdom,Exports of goods,CP,2018-Q4,2018,WW,88219,99.68135953266065
United Kingdom,Exports of goods,CP,2019-Q1,2019,WW,90305,102.03839504638366
United Kingdom,Exports of goods,CP,2019-Q2,2019,WW,85417,96.51529361250155
United Kingdom,Exports of goods,CP,2019-Q3,2019,WW,92977,105.05756997096078
United Kingdom,Exports of goods,CP,2019-Q4,2019,WW,99504,112.43262787991095
United Kingdom,Exports of goods,CP,2020-Q1,2020,WW,83753,94.63508886905232
United Kingdom,Exports of goods,CP,2020-Q2,2020,WW,72984,82.4668647811889
United Kingdom,Exports of goods,CP,2020-Q3,2020,WW,75129,84.89056620829143
United Kingdom,Exports of goods,CP,2020-Q4,2020,WW,81884,92.52324832487768
United Kingdom,Exports of goods,CP,2021-Q1,2021,WW,74677,84.37983751596028
United Kingdom,Exports of goods,CP,2021-Q2,2021,WW,84829,95.85089434017695
United Kingdom,Exports of goods,CP,2021-Q3,2021,WW,79326,89.6328855041186
United Kingdom,Exports of goods,CP,2021-Q4,2021,WW,93303,105.42592739065095
United Kingdom,Exports of goods,CP,2022-Q1,2022,WW,91874,103.81125636998452
United Kingdom,Exports of goods,CP,2022-Q2,2022,WW,100710,113.79532434661755
United Kingdom,Exports of goods,CP,2022-Q3,2022,WW,119960,135.5464910001017
United Kingdom,Exports of goods,CP,2022-Q4,2022,WW,121579,137.37584886046486
United Kingdom,Exports of goods,CP,2023-Q1,2023,WW,102015,115.26988395611349
United Kingdom,Exports of goods,CP,2023-Q2,2023,WW,99414,112.33093411373882
United Kingdom,Exports of goods,CP,2023-Q3,2023,WW,95038,107.38635721630263
United Kingdom,Exports of goods,CP,2023-Q4,2023,WW,97049,109.6586479248822
United Kingdom,Exports of goods,CP,2024-Q1,2024,WW,93950,106.15699257635507
United Kingdom,Exports of goods,CP,2024-Q2,2024,WW,91561,103.45758804985255
United Kingdom,Exports of goods,CP,2024-Q3,2024,WW,90075,101.77851097727711
United Kingdom,Imports of goods,CP,2018-Q1,2018,WW,120378,97.21741026541811
United Kingdom,Imports of goods,CP,2018-Q2,2018,WW,122835,99.20168627118439
United Kingdom,Imports of goods,CP,2018-Q3,2018,WW,125108,101.03736366683222
United Kingdom,Imports of goods,CP,2018-Q4,2018,WW,126973,102.54353979656527
United Kingdom,Imports of goods,CP,2019-Q1,2019,WW,142702,115.24629815826559
United Kingdom,Imports of goods,CP,2019-Q2,2019,WW,123489,99.72985741801838
United Kingdom,Imports of goods,CP,2019-Q3,2019,WW,127321,102.82458499396319
United Kingdom,Imports of goods,CP,2019-Q4,2019,WW,119688,96.66016547747398
United Kingdom,Imports of goods,CP,2020-Q1,2020,WW,114102,92.14890549855238
United Kingdom,Imports of goods,CP,2020-Q2,2020,WW,87094,70.3372138568204
United Kingdom,Imports of goods,CP,2020-Q3,2020,WW,109358,88.31764568115099
United Kingdom,Imports of goods,CP,2020-Q4,2020,WW,131201,105.95807742472148
United Kingdom,Imports of goods,CP,2021-Q1,2021,WW,116860,94.37626944804501
United Kingdom,Imports of goods,CP,2021-Q2,2021,WW,119872,96.80876408759242
United Kingdom,Imports of goods,CP,2021-Q3,2021,WW,127017,102.57907424681099
United Kingdom,Imports of goods,CP,2021-Q4,2021,WW,130591,105.4654407281332
United Kingdom,Imports of goods,CP,2022-Q1,2022,WW,155734,125.77095624013212
United Kingdom,Imports of goods,CP,2022-Q2,2022,WW,161175,130.16511405347126
United Kingdom,Imports of goods,CP,2022-Q3,2022,WW,165887,133.97053063433032
United Kingdom,Imports of goods,CP,2022-Q4,2022,WW,157863,127.49033907133945
United Kingdom,Imports of goods,CP,2023-Q1,2023,WW,152097,122.83371088686718
United Kingdom,Imports of goods,CP,2023-Q2,2023,WW,148262,119.73656050749655
United Kingdom,Imports of goods,CP,2023-Q3,2023,WW,139347,112.53679632703
United Kingdom,Imports of goods,CP,2023-Q4,2023,WW,141487,114.26506277079875
United Kingdom,Imports of goods,CP,2024-Q1,2024,WW,136744,110.43461055453932
United Kingdom,Imports of goods,CP,2024-Q2,2024,WW,150605,121.62876998308076
United Kingdom,Imports of goods,CP,2024-Q3,2024,WW,140289,113.29755660274503
United Kingdom,Imports of goods,CVM,2018-Q1,2018,WW,152803,99.31155952808437
